Date,Open,High,Low,Close,Volume
1-Sep-09,35.37,35.9,33.67,33.75,1696458
31-Aug-09,35.65,35.65,34.34,35.43,1482188
28-Aug-09,35.47,36.42,34.33,36.03,3108705
27-Aug-09,34,34.99,33.95,34.98,3303378
26-Aug-09,32.12,33.48,32,33.2,2017507
25-Aug-09,31.68,32.32,31.61,32.04,1133227
24-Aug-09,31.71,32.21,31.59,31.6,1147695
21-Aug-09,31.29,31.82,31.04,31.7,1666117
20-Aug-09,30.71,31.16,30.33,31.16,1242608
19-Aug-09,30.2,30.71,30,30.5,1247609
18-Aug-09,30.45,30.86,30.39,30.62,1015928
17-Aug-09,30.79,31.47,30.06,30.12,1360469
14-Aug-09,32.42,32.42,31.26,31.83,1070330
13-Aug-09,32,32.76,31.34,32.4,1459988
12-Aug-09,31.32,32.13,31.26,31.59,1755029
10-Aug-09,31.65,32.4,31.35,32,1583010
7-Aug-09,33.18,33.31,32.55,32.77,1579980
6-Aug-09,33.11,33.26,32.44,32.71,1195180
5-Aug-09,33.2,33.3,32.63,33.06,1021272
4-Aug-09,32.74,33.5,32.74,33.2,1262370
3-Aug-09,32.82,33.32,32.66,33.13,1718096
31-Jul-09,32.15,32.93,32,32.23,1297514
30-Jul-09,31.94,33,31.87,32.31,1784744
29-Jul-09,32.69,32.69,31.55,31.79,2233325
28-Jul-09,32.65,33.05,32.37,32.53,1445895
27-Jul-09,33.48,33.65,32.7,32.85,1600078
24-Jul-09,32.7,33.87,32.27,33.47,3111078
23-Jul-09,33.84,34.2,32.69,32.77,5248440
22-Jul-09,30.59,32,30.59,31.25,4014241
21-Jul-09,30.8,31.09,30.35,30.97,1562313
20-Jul-09,31.01,32.35,30.53,31.1,2974753
17-Jul-09,30.02,30.81,29.88,30.81,1768069
16-Jul-09,29.35,30.19,29.31,29.98,1710315
15-Jul-09,29.25,29.48,29.08,29.3,1624838
14-Jul-09,28.7,29.09,28.33,28.6,1557440
13-Jul-09,27.42,28.66,27.26,28.26,2207528
10-Jul-09,26.5,27.24,26.5,26.89,810315
9-Jul-09,26.59,27.1,26.19,26.97,1355282
8-Jul-09,26.9,26.9,25.75,26.12,2670886
7-Jul-09,27.74,28.2,26.55,26.76,2007037
6-Jul-09,28.2,28.21,27.31,28.07,1577056
3-Jul-09,28.24,28.24,28.24,28.24,0
2-Jul-09,28.2,28.5,27.78,28.24,1298009
1-Jul-09,27.53,29.5,27.35,28.76,3618798
30-Jun-09,28.29,28.49,27.25,27.27,1482528
29-Jun-09,28.08,29.05,27.77,28.22,1164375
26-Jun-09,27.69,28.15,27.5,27.95,1684910
25-Jun-09,28.33,28.34,27.18,27.96,1960103
24-Jun-09,27.61,29.06,27.42,28.18,1860880
23-Jun-09,27.62,27.89,26.12,27.25,2078210
22-Jun-09,29.1,29.1,27.36,27.54,1989239
19-Jun-09,29.28,30.4,29.13,29.55,2063925
18-Jun-09,29.91,30.21,29.42,29.91,977998
17-Jun-09,29.38,30.72,28.87,30.15,1493727
16-Jun-09,30.73,31.03,29.43,29.43,1686783
15-Jun-09,31.14,31.67,30.34,30.8,1320757
12-Jun-09,32.19,32.19,31.25,31.61,1112595
11-Jun-09,32.06,32.6,31.81,32.13,1536522
10-Jun-09,32.68,33,31.64,32.22,1148989
9-Jun-09,31.83,32.85,30.94,32.66,1521855
8-Jun-09,32.15,32.15,31.54,31.87,1331015
5-Jun-09,32.78,33,32.01,32.59,1488099
4-Jun-09,31.14,32.85,30.55,32.81,2943113
3-Jun-09,31.34,31.5,30.35,30.94,1985790
2-Jun-09,31.46,32.37,30.97,32,2932371
1-Jun-09,31.09,32.35,30.53,32.22,2171729
29-May-09,30.22,31.36,30.09,31.04,2321116
28-May-09,30.41,30.69,29.1,30.07,1934298
27-May-09,29.37,30.87,29.26,29.95,2766216
26-May-09,28.42,29.37,28.05,29.26,1986057
25-May-09,28.5,28.5,28.5,28.5,0
22-May-09,27.7,28.9,27.24,28.5,2393513
21-May-09,28.16,28.16,27.25,27.54,1582418
20-May-09,28.54,29.49,28.35,28.56,1297283
19-May-09,27.82,28.88,27.7,28.48,1239191
18-May-09,27.59,28,26.76,27.85,1861048
15-May-09,26.99,27.93,26.85,27,1758318
14-May-09,26.66,27.39,26.6,27.03,969183
13-May-09,27.5,27.57,26.5,26.76,2189869
12-May-09,28.75,28.75,27.1,27.81,1505399
11-May-09,27.38,28.6,26.77,28.27,1621215
8-May-09,28.11,28.52,26.77,27.7,1244095
7-May-09,28.84,29,27.38,27.73,1603354
6-May-09,28.66,28.82,27.63,28.62,1841201
5-May-09,26.59,28.58,26.22,28.27,3689425
4-May-09,25.59,26.73,25.27,26.66,2688077
1-May-09,26.33,26.36,25.28,25.4,1435277
30-Apr-09,26.32,27.05,26.01,26.08,2106275
29-Apr-09,26.13,26.9,25.45,25.9,1813942
28-Apr-09,25.35,26.59,25.23,25.85,1510945
27-Apr-09,26.19,26.19,25.07,25.66,1604407
24-Apr-09,26.3,26.72,25.6,26,3535625
23-Apr-09,27.17,27.57,25.68,25.92,10763978
22-Apr-09,30.49,33.4,30.35,32.55,4853880
21-Apr-09,29.59,30.3,29.46,30.22,1801890
20-Apr-09,30.27,30.36,29.3,29.78,1278184
17-Apr-09,30.29,30.95,29.89,30.7,1530445
16-Apr-09,30,30.4,29.31,30.19,1039124
15-Apr-09,29.74,30.15,28.86,29.6,1508842
14-Apr-09,30.7,31.44,29.83,30.04,2461432
13-Apr-09,29.54,31.72,29.33,31.53,2214025
10-Apr-09,30.01,30.01,30.01,30.01,0
9-Apr-09,30.72,30.72,29.5,30.01,2010833
8-Apr-09,28.09,30.44,28.09,30.09,3421111
7-Apr-09,27.54,27.86,27.01,27.6,1154963
6-Apr-09,28.43,28.43,27.12,27.88,1704158
3-Apr-09,27.55,28.77,26.61,28.67,1568749
2-Apr-09,26.96,28.3,26.44,27.62,2450992
1-Apr-09,24.68,26.56,24.42,26.12,4217649
31-Mar-09,23.45,24.41,23.41,23.62,1425153
30-Mar-09,23.58,23.82,23,23.52,906954
27-Mar-09,25,25,23.91,24.26,1408132
